TEXTURE PATH,L,T,W,H
graphics/Boss/AttackExplosion1.png,0,0,200,200
graphics/Boss/AttackExplosion1.png,200,0,200,200
graphics/Boss/AttackExplosion1.png,400,0,200,200
graphics/Boss/AttackExplosion1.png,600,0,200,200
graphics/Boss/AttackExplosion1.png,800,0,200,200
graphics/Boss/AttackExplosion1.png,1000,0,200,200
graphics/Boss/AttackExplosion1.png,1200,0,200,200
graphics/Boss/AttackExplosion1.png,1400,0,200,200
graphics/Boss/AttackExplosion1.png,1600,0,200,200
graphics/Boss/AttackExplosion1.png,1800,0,200,200
graphics/Boss/AttackExplosion1.png,2000,0,200,200
graphics/Boss/AttackExplosion1.png,2200,0,200,200
graphics/Boss/AttackExplosion2.png,0,0,200,200
graphics/Boss/AttackExplosion2.png,200,0,200,200
graphics/Boss/AttackExplosion2.png,400,0,200,200
graphics/Boss/AttackExplosion2.png,600,0,200,200
graphics/Boss/AttackExplosion2.png,800,0,200,200
graphics/Boss/AttackExplosion2.png,1000,0,200,200
graphics/Boss/AttackExplosion2.png,1200,0,200,200
graphics/Boss/AttackExplosion2.png,1400,0,200,200
graphics/Boss/AttackExplosion2.png,1600,0,200,200
graphics/Boss/AttackExplosion2.png,1800,0,200,200
graphics/Boss/AttackExplosion2.png,2000,0,200,200
