TEXTURE PATH,L,T,W,H
graphics/Boss/Intro1.png,0,0,33,81
graphics/Boss/Intro1.png,33,0,33,81
graphics/Boss/Intro1.png,66,0,33,81
graphics/Boss/Intro1.png,99,0,33,81
graphics/Boss/Intro1.png,132,0,33,81
graphics/Boss/Intro1.png,165,0,33,81
graphics/Boss/Intro1.png,198,0,33,81
graphics/Boss/Intro1.png,231,0,33,81
graphics/Boss/Intro1.png,264,0,33,81
graphics/Boss/Intro1.png,297,0,33,81
graphics/Boss/Intro1.png,330,0,33,81
graphics/Boss/Intro1.png,0,81,33,81
graphics/Boss/Intro1.png,33,81,33,81
graphics/Boss/Intro1.png,66,81,33,81
graphics/Boss/Intro1.png,99,81,33,81
graphics/Boss/Intro1.png,132,81,33,81
graphics/Boss/Intro1.png,165,81,33,81
graphics/Boss/Intro1.png,198,81,33,81
graphics/Boss/Intro1.png,231,81,33,81
graphics/Boss/Intro1.png,264,81,33,81
graphics/Boss/Intro1.png,297,81,33,81
graphics/Boss/Intro1.png,330,81,33,81
graphics/Boss/Intro1.png,0,162,33,81
graphics/Boss/Intro1.png,33,162,33,81
graphics/Boss/Intro1.png,66,162,33,81
graphics/Boss/Intro1.png,99,162,33,81
graphics/Boss/Intro1.png,132,162,33,81
graphics/Boss/Intro1.png,165,162,33,81
graphics/Boss/Intro1.png,198,162,33,81
graphics/Boss/Intro1.png,231,162,33,81
graphics/Boss/Intro1.png,264,162,33,81
graphics/Boss/Intro1.png,297,162,33,81
graphics/Boss/Intro1.png,330,162,33,81
graphics/Boss/Intro1.png,0,243,33,81
graphics/Boss/Intro1.png,33,243,33,81
graphics/Boss/Intro1.png,66,243,33,81
graphics/Boss/Intro1.png,99,243,33,81
graphics/Boss/Intro1.png,132,243,33,81
graphics/Boss/Intro1.png,165,243,33,81
graphics/Boss/Intro1.png,198,243,33,81
graphics/Boss/Intro1.png,231,243,33,81
graphics/Boss/Intro1.png,264,243,33,81
graphics/Boss/Intro1.png,297,243,33,81
graphics/Boss/Intro1.png,330,243,33,81
