TEXTURE PATH,L,T,W,H
graphics/Boss/Landing(Bomb).png,0,0,120,106
graphics/Boss/Landing(Bomb).png,120,0,120,106
graphics/Boss/Landing(Bomb).png,240,0,120,106
graphics/Boss/Landing(Bomb).png,360,0,120,106
graphics/Boss/Landing(Bomb).png,480,0,120,106
graphics/Boss/Landing(Bomb).png,600,0,120,106
graphics/Boss/Landing(Bomb).png,720,0,120,106
graphics/Boss/Landing(Bomb).png,840,0,120,106
graphics/Boss/Landing(Bomb).png,960,0,120,106
graphics/Boss/Landing(Bomb).png,1080,0,120,106
graphics/Boss/Landing(Bomb).png,1200,0,120,106
graphics/Boss/Landing(Bomb).png,1320,0,120,106
graphics/Boss/Landing(Bomb).png,1440,0,120,106
graphics/Boss/Landing(Bomb).png,1560,0,120,106
graphics/Boss/Landing(Bomb).png,1680,0,120,106
graphics/Boss/Landing(Bomb).png,1800,0,120,106
graphics/Boss/Landing(Bomb).png,1920,0,120,106
graphics/Boss/Landing(Bomb).png,2040,0,120,106
graphics/Boss/Landing(Bomb).png,2160,0,120,106
graphics/Boss/Landing(Bomb).png,2280,0,120,106
graphics/Boss/Landing(Bomb).png,2400,0,120,106
graphics/Boss/Landing(Bomb).png,2520,0,120,106
graphics/Boss/Landing(Bomb).png,2640,0,120,106
graphics/Boss/Landing(Bomb).png,2760,0,120,106
graphics/Boss/Landing(Bomb).png,2880,0,120,106
graphics/Boss/Landing(Bomb).png,3000,0,120,106
graphics/Boss/Landing(Bomb).png,3120,0,120,106
graphics/Boss/Landing(Bomb).png,3240,0,120,106
graphics/Boss/Landing(Bomb).png,3360,0,120,106
graphics/Boss/Landing(Bomb).png,3480,0,120,106
graphics/Boss/Landing(Bomb).png,3600,0,120,106
