TEXTURE PATH,L,T,W,H
graphics/Boss/Landing(Down).png,0,0,100,69
graphics/Boss/Landing(Down).png,100,0,100,69
graphics/Boss/Landing(Down).png,200,0,100,69
graphics/Boss/Landing(Down).png,300,0,100,69
graphics/Boss/Landing(Down).png,400,0,100,69
graphics/Boss/Landing(Down).png,500,0,100,69
graphics/Boss/Landing(Down).png,600,0,100,69
graphics/Boss/Landing(Down).png,700,0,100,69
graphics/Boss/Landing(Down).png,800,0,100,69
graphics/Boss/Landing(Down).png,900,0,100,69
graphics/Boss/Landing(Down).png,1000,0,100,69
graphics/Boss/Landing(Down).png,1100,0,100,69
