TEXTURE PATH,L,T,W,H
graphics/Boss/landing(Outro).png,410,66,41,66
graphics/Boss/landing(Outro).png,369,66,41,66
graphics/Boss/landing(Outro).png,328,66,41,66
graphics/Boss/landing(Outro).png,287,66,41,66
graphics/Boss/landing(Outro).png,246,66,41,66
graphics/Boss/landing(Outro).png,205,66,41,66
graphics/Boss/landing(Outro).png,164,66,41,66
graphics/Boss/landing(Outro).png,123,66,41,66
graphics/Boss/landing(Outro).png,82,66,41,66
graphics/Boss/landing(Outro).png,41,66,41,66
graphics/Boss/landing(Outro).png,0,66,41,66
