TEXTURE PATH,L,T,W,H
graphics/Boss/LandingEffect.png,0,0,300,216
graphics/Boss/LandingEffect.png,300,0,300,216
graphics/Boss/LandingEffect.png,600,0,300,216
graphics/Boss/LandingEffect.png,900,0,300,216
graphics/Boss/LandingEffect.png,1200,0,300,216
graphics/Boss/LandingEffect.png,1500,0,300,216
graphics/Boss/LandingEffect.png,1800,0,300,216
graphics/Boss/LandingEffect.png,2100,0,300,216
graphics/Boss/LandingEffect.png,2400,0,300,216
graphics/Boss/LandingEffect.png,2700,0,300,216
graphics/Boss/LandingEffect.png,3000,0,300,216
graphics/Boss/LandingEffect.png,3300,0,300,216
graphics/Boss/LandingEffect.png,3600,0,300,216
graphics/Boss/LandingEffect.png,3900,0,300,216
graphics/Boss/LandingEffect.png,0,216,300,216
graphics/Boss/LandingEffect.png,300,216,300,216
graphics/Boss/LandingEffect.png,600,216,300,216
graphics/Boss/LandingEffect.png,900,216,300,216
graphics/Boss/LandingEffect.png,1200,216,300,216
graphics/Boss/LandingEffect.png,1500,216,300,216
graphics/Boss/LandingEffect.png,1800,216,300,216
graphics/Boss/LandingEffect.png,2100,216,300,216
graphics/Boss/LandingEffect.png,2400,216,300,216
graphics/Boss/LandingEffect.png,2700,216,300,216
graphics/Boss/LandingEffect.png,3000,216,300,216
graphics/Boss/LandingEffect.png,3300,216,300,216
graphics/Boss/LandingEffect.png,3600,216,300,216
graphics/Boss/LandingEffect.png,3900,216,300,216
