TEXTURE PATH,L,T,W,H
graphics/Boss/FireBall.png,0,0,100,57
graphics/Boss/FireBall.png,100,0,100,57
graphics/Boss/FireBall.png,200,0,100,57
graphics/Boss/FireBall.png,300,0,100,57
graphics/Boss/FireBall.png,400,0,100,57
graphics/Boss/FireBall.png,500,0,100,57
graphics/Boss/FireBall.png,600,0,100,57
graphics/Boss/FireBall.png,700,0,100,57
graphics/Boss/FireBall.png,800,0,100,57
graphics/Boss/FireBall.png,900,0,100,57
graphics/Boss/FireBall.png,1000,0,100,57
graphics/Boss/FireBall.png,1100,0,100,57
