TEXTURE PATH,L,T,W,H
graphics/Boss/SuperEffect.png,0,0,200,200
graphics/Boss/SuperEffect.png,200,0,200,200
graphics/Boss/SuperEffect.png,400,0,200,200
graphics/Boss/SuperEffect.png,600,0,200,200
graphics/Boss/SuperEffect.png,800,0,200,200
graphics/Boss/SuperEffect.png,1000,0,200,200
graphics/Boss/SuperEffect.png,1200,0,200,200
graphics/Boss/SuperEffect.png,1400,0,200,200
graphics/Boss/SuperEffect.png,1600,0,200,200
graphics/Boss/SuperEffect.png,1800,0,200,200
graphics/Boss/SuperEffect.png,2000,0,200,200
graphics/Boss/SuperEffect.png,2200,0,200,200
graphics/Boss/SuperEffect.png,0,200,200,200
graphics/Boss/SuperEffect.png,200,200,200,200
graphics/Boss/SuperEffect.png,400,200,200,200
graphics/Boss/SuperEffect.png,600,200,200,200
graphics/Boss/SuperEffect.png,800,200,200,200
graphics/Boss/SuperEffect.png,1000,200,200,200
graphics/Boss/SuperEffect.png,1200,200,200,200
graphics/Boss/SuperEffect.png,1400,200,200,200
graphics/Boss/SuperEffect.png,1600,200,200,200
graphics/Boss/SuperEffect.png,1800,200,200,200
graphics/Boss/SuperEffect.png,2000,200,200,200
graphics/Boss/SuperEffect.png,2200,200,200,200
