TEXTURE PATH,L,T,W,H
graphics/Monster/PinkEnt/EntGas.png,0,0,200,125
graphics/Monster/PinkEnt/EntGas.png,200,0,200,125
graphics/Monster/PinkEnt/EntGas.png,400,0,200,125
graphics/Monster/PinkEnt/EntGas.png,600,0,200,125
graphics/Monster/PinkEnt/EntGas.png,800,0,200,125
graphics/Monster/PinkEnt/EntGas.png,1000,0,200,125
graphics/Monster/PinkEnt/EntGas.png,1200,0,200,125
graphics/Monster/PinkEnt/EntGas.png,1400,0,200,125
graphics/Monster/PinkEnt/EntGas.png,1600,0,200,125
graphics/Monster/PinkEnt/EntGas.png,1800,0,200,125
graphics/Monster/PinkEnt/EntGas.png,2000,0,200,125
graphics/Monster/PinkEnt/EntGas.png,2200,0,200,125
graphics/Monster/PinkEnt/EntGas.png,2400,0,200,125
graphics/Monster/PinkEnt/EntGas.png,2600,0,200,125
graphics/Monster/PinkEnt/EntGas.png,0,125,200,125
graphics/Monster/PinkEnt/EntGas.png,200,125,200,125
graphics/Monster/PinkEnt/EntGas.png,400,125,200,125
graphics/Monster/PinkEnt/EntGas.png,600,125,200,125
graphics/Monster/PinkEnt/EntGas.png,800,125,200,125
graphics/Monster/PinkEnt/EntGas.png,1000,125,200,125
graphics/Monster/PinkEnt/EntGas.png,1200,125,200,125
graphics/Monster/PinkEnt/EntGas.png,1400,125,200,125
graphics/Monster/PinkEnt/EntGas.png,1600,125,200,125
graphics/Monster/PinkEnt/EntGas.png,1800,125,200,125
graphics/Monster/PinkEnt/EntGas.png,2000,125,200,125
graphics/Monster/PinkEnt/EntGas.png,2200,125,200,125
graphics/Monster/PinkEnt/EntGas.png,2400,125,200,125
graphics/Monster/PinkEnt/EntGas.png,2600,125,200,125
graphics/Monster/PinkEnt/EntGas.png,0,250,200,125
graphics/Monster/PinkEnt/EntGas.png,200,250,200,125
graphics/Monster/PinkEnt/EntGas.png,400,250,200,125
graphics/Monster/PinkEnt/EntGas.png,600,250,200,125
graphics/Monster/PinkEnt/EntGas.png,800,250,200,125
graphics/Monster/PinkEnt/EntGas.png,1000,250,200,125
graphics/Monster/PinkEnt/EntGas.png,1200,250,200,125
graphics/Monster/PinkEnt/EntGas.png,1400,250,200,125
graphics/Monster/PinkEnt/EntGas.png,1600,250,200,125
graphics/Monster/PinkEnt/EntGas.png,1800,250,200,125
graphics/Monster/PinkEnt/EntGas.png,2000,250,200,125
graphics/Monster/PinkEnt/EntGas.png,2200,250,200,125
graphics/Monster/PinkEnt/EntGas.png,2400,250,200,125
graphics/Monster/PinkEnt/EntGas.png,2600,250,200,125
graphics/Monster/PinkEnt/EntGas.png,0,0,200,125
