TEXTURE PATH,L,T,W,H

graphics/SkulPlayer/skul_grim_reaper.png,0,2700,300,150
graphics/SkulPlayer/skul_grim_reaper.png,300,2700,300,150
graphics/SkulPlayer/skul_grim_reaper.png,600,2700,300,150
graphics/SkulPlayer/skul_grim_reaper.png,900,2700,300,150
graphics/SkulPlayer/skul_grim_reaper.png,1200,2700,300,150
graphics/SkulPlayer/skul_grim_reaper.png,1500,2700,300,150
graphics/SkulPlayer/skul_grim_reaper.png,1800,2700,300,150
graphics/SkulPlayer/skul_grim_reaper.png,2100,2700,300,150
graphics/SkulPlayer/skul_grim_reaper.png,2400,2700,300,150
