TEXTURE PATH,L,T,W,H
graphics/SkulPlayer/skul_grim_reaper.png,0,2100,300,150
graphics/SkulPlayer/skul_grim_reaper.png,300,2100,300,150
graphics/SkulPlayer/skul_grim_reaper.png,600,2100,300,150
graphics/SkulPlayer/skul_grim_reaper.png,900,2100,300,150
graphics/SkulPlayer/skul_grim_reaper.png,1200,2100,300,150
graphics/SkulPlayer/skul_grim_reaper.png,1500,2100,300,150
graphics/SkulPlayer/skul_grim_reaper.png,1800,2100,300,150
graphics/SkulPlayer/skul_grim_reaper.png,2100,2100,300,150
graphics/SkulPlayer/skul_grim_reaper.png,2400,2100,300,150
graphics/SkulPlayer/skul_grim_reaper.png,2700,2100,300,150
graphics/SkulPlayer/skul_grim_reaper.png,3000,2100,300,150
graphics/SkulPlayer/skul_grim_reaper.png,3300,2100,300,150
