TEXTURE PATH,L,T,W,H
graphics/SkulPlayer/skul_Player.png,1540,2300,140,100
graphics/SkulPlayer/skul_Player.png,1400,2300,140,100
graphics/SkulPlayer/skul_Player.png,1260,2300,140,100
graphics/SkulPlayer/skul_Player.png,1120,2300,140,100
graphics/SkulPlayer/skul_Player.png,980,2300,140,100
graphics/SkulPlayer/skul_Player.png,840,2300,140,100
graphics/SkulPlayer/skul_Player.png,700,2300,140,100
graphics/SkulPlayer/skul_Player.png,560,2300,140,100
graphics/SkulPlayer/skul_Player.png,420,2300,140,100
graphics/SkulPlayer/skul_Player.png,280,2300,140,100
graphics/SkulPlayer/skul_Player.png,140,2300,140,100
graphics/SkulPlayer/skul_Player.png,0,2300,140,100
