TEXTURE PATH,L,T,W,H
graphics/Boss/Attack2(Ready).png,0,0,55,96
graphics/Boss/Attack2(Ready).png,55,0,55,96
graphics/Boss/Attack2(Ready).png,110,0,55,96
graphics/Boss/Attack2(Ready).png,165,0,55,96
graphics/Boss/Attack2(Ready).png,220,0,55,96
graphics/Boss/Attack2(Ready).png,275,0,55,96
graphics/Boss/Attack2(Ready).png,330,0,55,96
graphics/Boss/Attack2(Ready).png,385,0,55,96
graphics/Boss/Attack2(Ready).png,440,0,55,96
graphics/Boss/Attack2(Ready).png,495,0,55,96
graphics/Boss/Attack2(Ready).png,550,0,55,96
graphics/Boss/Attack2(Ready).png,605,0,55,96
graphics/Boss/Attack2(Ready).png,660,0,55,96
