TEXTURE PATH,L,T,W,H
graphics/Boss/Attack2(End).png,0,76,71,76
graphics/Boss/Attack2(End).png,71,76,71,76
graphics/Boss/Attack2(End).png,142,76,71,76
graphics/Boss/Attack2(End).png,213,76,71,76
graphics/Boss/Attack2(End).png,284,76,71,76
graphics/Boss/Attack2(End).png,355,76,71,76
graphics/Boss/Attack2(End).png,426,76,71,76
graphics/Boss/Attack2(End).png,497,76,71,76
graphics/Boss/Attack2(End).png,568,76,71,76
graphics/Boss/Attack2(End).png,639,76,71,76
graphics/Boss/Attack2(End).png,710,76,71,76
