TEXTURE PATH,L,T,W,H
graphics/Boss/Attack2(Ready).png,0,96,55,96
graphics/Boss/Attack2(Ready).png,55,96,55,96
graphics/Boss/Attack2(Ready).png,110,96,55,96
graphics/Boss/Attack2(Ready).png,165,96,55,96
graphics/Boss/Attack2(Ready).png,220,96,55,96
graphics/Boss/Attack2(Ready).png,275,96,55,96
graphics/Boss/Attack2(Ready).png,330,96,55,96
graphics/Boss/Attack2(Ready).png,385,96,55,96
graphics/Boss/Attack2(Ready).png,440,96,55,96
graphics/Boss/Attack2(Ready).png,495,96,55,96
graphics/Boss/Attack2(Ready).png,550,96,55,96
graphics/Boss/Attack2(Ready).png,605,96,55,96
graphics/Boss/Attack2(Ready).png,660,96,55,96
