TEXTURE PATH,L,T,W,H
graphics/Boss/BossAttackEffect.png,0,0,200,200
graphics/Boss/BossAttackEffect.png,200,0,200,200
graphics/Boss/BossAttackEffect.png,400,0,200,200
graphics/Boss/BossAttackEffect.png,600,0,200,200
graphics/Boss/BossAttackEffect.png,800,0,200,200
graphics/Boss/BossAttackEffect.png,1000,0,200,200
graphics/Boss/BossAttackEffect.png,1200,0,200,200
graphics/Boss/BossAttackEffect.png,1400,0,200,200
graphics/Boss/BossAttackEffect.png,1600,0,200,200
graphics/Boss/BossAttackEffect.png,1800,0,200,200
graphics/Boss/BossAttackEffect.png,2000,0,200,200
graphics/Boss/BossAttackEffect.png,2200,0,200,200
