TEXTURE PATH,L,T,W,H
graphics/Boss/FireBall(left).png,0,0,100,57
graphics/Boss/FireBall(left).png,100,0,100,57
graphics/Boss/FireBall(left).png,200,0,100,57
graphics/Boss/FireBall(left).png,300,0,100,57
graphics/Boss/FireBall(left).png,400,0,100,57
graphics/Boss/FireBall(left).png,500,0,100,57
graphics/Boss/FireBall(left).png,600,0,100,57
graphics/Boss/FireBall(left).png,700,0,100,57
graphics/Boss/FireBall(left).png,800,0,100,57
graphics/Boss/FireBall(left).png,900,0,100,57
graphics/Boss/FireBall(left).png,1000,0,100,57
graphics/Boss/FireBall(left).png,1100,0,100,57
