ID,FPS,"LOOP TYPE(0:Single, 1:Loop)",CLIP PATH
Idle,10,1,data_tables/animations/boss/boss_animation_idle.csv
Attack1(Left),10,0,data_tables/animations/boss/boss_animation_Attack1(Left).csv
Attack1(Right),10,0,data_tables/animations/boss/boss_animation_Attack1(Right).csv
Attack2(LeftEnd),10,0,data_tables/animations/boss/boss_animation_Attack2(LeftEnd).csv
Attack2(RightEnd),10,0,data_tables/animations/boss/boss_animation_Attack2(RightEnd).csv
Attack2(LeftReady),10,0,data_tables/animations/boss/boss_animation_Attack2(LeftReady).csv
Attack2(RightReady),10,0,data_tables/animations/boss/boss_animation_Attack2(RightReady).csv
Attack2(LeftReady2),10,1,data_tables/animations/boss/boss_animation_Attack2(LeftReady2).csv
Attack2(RightReady2),10,0,data_tables/animations/boss/boss_animation_Attack2(RightReady2).csv
Attack3(LeftLanding),10,0,data_tables/animations/boss/boss_animation_Attack3(LeftLanding).csv
Attack3(RightLanding),10,0,data_tables/animations/boss/boss_animation_Attack3(RightLanding).csv
Attack3(LeftReady),10,0,data_tables/animations/boss/boss_animation_Attack3(LeftReady).csv
Attack3(RightReady),10,0,data_tables/animations/boss/boss_animation_Attack3(RightReady).csv
Attack4(LeftRe),10,0,data_tables/animations/boss/boss_animation_Attack4(LeftRe).csv
Attack4(RightRe),10,0,data_tables/animations/boss/boss_animation_Attack4(RightRe).csv
Attack4(LeftReady),10,0,data_tables/animations/boss/boss_animation_Attack4(LeftReady).csv
Attack4(RightReady),10,0,data_tables/animations/boss/boss_animation_Attack4(RightReady).csv
Attack4(LeftReady2),10,0,data_tables/animations/boss/boss_animation_Attack4(LeftReady2).csv
Attack4(RightReady2),10,0,data_tables/animations/boss/boss_animation_Attack4(RightReady2).csv
Attack4(Left),10,0,data_tables/animations/boss/boss_animation_Attack4(Left).csv
Attack4(Right),10,0,data_tables/animations/boss/boss_animation_Attack4(Right).csv
BossAttackEffect,10,0,data_tables/animations/boss/boss_animation_BossAttackEffect.csv
Die(Left),10,1,data_tables/animations/boss/boss_animation_Die(Left).csv
Die(Right),10,1,data_tables/animations/boss/boss_animation_Die(Right).csv
FireBall(Left),10,0,data_tables/animations/boss/boss_animation_FireBall(Left).csv
FireBall(Right),10,0,data_tables/animations/boss/boss_animation_FireBall(right).csv
Groggy(Left),10,1,data_tables/animations/boss/boss_animation_Groggy(Left).csv
Groggy(Right),10,1,data_tables/animations/boss/boss_animation_Groggy(Right).csv
Hit(Left),10,0,data_tables/animations/boss/boss_animation_Hit(Left).csv
Hit(Right),10,0,data_tables/animations/boss/boss_animation_Hit(Right).csv
Intro2,10,0,data_tables/animations/boss/boss_animation_Intro2.csv
Intro1(Left),10,0,data_tables/animations/boss/boss_animation_Intro1(Left).csv
Potion,10,0,data_tables/animations/boss/boss_animation_Potion.csv
Walk1(LeftFront),10,0,data_tables/animations/boss/boss_animation_Walk1(LeftFront).csv
Walk1(RightFront),10,0,data_tables/animations/boss/boss_animation_Walk1(RightFront).csv
Walk2(LeftBack),10,0,data_tables/animations/boss/boss_animation_Walk2(LeftBack).csv
Walk2(RightBack),10,0,data_tables/animations/boss/boss_animation_Walk2(RightBack).csv
